zeitraum_id;start;end;soc;länge;länge_stunden;soc_variation;avg_aktivität;max_aktivität;qualität_score;typ
180;8501;8548;3150,250;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
182;8597;8627;3376,990;31;7,750;0,000;0,000;0,000;1,000;niedrig_aktiv
230;9813;9860;3486,720;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
231;9861;9871;3486,720;11;2,750;0,000;0,000;0,000;1,000;niedrig_aktiv
291;11540;11550;784,560;11;2,750;0,000;0,000;0,000;1,000;niedrig_aktiv
388;14482;14492;3539,920;11;2,750;0,000;0,000;0,000;1,000;niedrig_aktiv
396;14726;14757;2966,860;32;8,000;0,000;0,000;0,000;1,000;niedrig_aktiv
656;21783;21787;2966,980;5;1,250;0,000;0,000;0,000;1,000;niedrig_aktiv
661;21940;21955;3301,600;16;4,000;0,000;0,000;0,000;1,000;niedrig_aktiv
767;24877;24924;3281,010;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
808;26215;26262;3144,570;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
809;26263;26310;3144,570;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
810;26311;26358;3144,570;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
811;26359;26392;3144,570;34;8,500;0,000;0,000;0,000;1,000;niedrig_aktiv
829;27160;27207;3404,900;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
830;27208;27255;3404,900;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
850;27933;27936;3539,770;4;1,000;0,000;0,000;0,000;1,000;niedrig_aktiv
852;27987;27991;2685,090;5;1,250;0,000;0,000;0,000;1,000;niedrig_aktiv
871;28622;28669;3193,540;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
872;28670;28717;3193,540;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
873;28718;28765;3193,540;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
874;28766;28794;3193,540;29;7,250;0,000;0,000;0,000;1,000;niedrig_aktiv
897;29681;29707;2051,450;27;6,750;0,000;0,700;19,000;1,000;soc_stabil
899;29757;29804;3360,460;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
900;29805;29840;3360,460;36;9,000;0,000;0,000;0,000;1,000;niedrig_aktiv
914;30389;30422;2560,580;34;8,500;0,000;0,000;0,000;1,000;niedrig_aktiv
947;31727;31769;2793,100;43;10,750;0,000;0,000;0,000;1,000;niedrig_aktiv
963;32448;32495;3465,810;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
964;32496;32543;3465,810;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
965;32544;32591;3465,810;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
966;32592;32639;3465,810;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
972;32880;32927;2868,860;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
974;32976;33023;2766,010;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
977;33120;33167;3214,860;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
978;33168;33215;3214,860;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
979;33216;33263;3214,860;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
981;33312;33322;3215,810;11;2,750;0,000;0,000;0,000;1,000;niedrig_aktiv
983;33371;33418;3260,660;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
987;33563;33610;3372,820;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
988;33611;33658;3372,820;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
989;33659;33706;3372,820;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
990;33707;33754;3372,820;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
991;33755;33778;3372,820;24;6,000;0,000;0,000;0,000;1,000;niedrig_aktiv
996;33972;34019;3401,980;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
997;34020;34067;3401,980;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
998;34068;34115;3401,980;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
1000;34164;34211;3408,790;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
1001;34212;34259;3408,790;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
1002;34260;34307;3408,790;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
1003;34308;34355;3408,790;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
1007;34465;34512;3389,990;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
1008;34513;34555;3389,990;43;10,750;0,000;0,000;0,000;1,000;niedrig_aktiv
1011;34652;34699;3453,280;48;12,000;0,000;0,000;0,000;1,000;niedrig_aktiv
1019;34999;35040;3490,420;42;10,500;0,000;0,000;0,000;1,000;niedrig_aktiv
362;13584;13591;3270,840;8;2,000;0,000;16,540;132,280;0,989;soc_stabil
1012;34700;34747;3453,280;48;12,000;0,000;18,730;899,200;0,988;soc_stabil
951;31913;31919;2963,930;7;1,750;0,000;22,890;160,240;0,985;soc_stabil
146;6878;6925;3327,840;48;12,000;0,530;0,040;2,120;0,956;niedrig_aktiv
437;15975;15979;1892,750;5;1,250;0,000;97,460;487,320;0,936;soc_stabil
980;33264;33311;3215,730;48;12,000;0,950;0,080;3,800;0,921;niedrig_aktiv
944;31622;31625;1957,200;4;1,000;0,000;182,910;731,640;0,880;soc_stabil
819;26738;26785;3288,220;48;12,000;1,650;0,140;6,600;0,862;niedrig_aktiv
16;721;768;3503,020;48;12,000;3,240;0,270;12,960;0,730;niedrig_aktiv
61;2841;2888;3439,340;48;12,000;4,170;0,350;16,680;0,652;niedrig_aktiv
75;3513;3560;2986,610;48;12,000;4,230;0,350;16,920;0,647;niedrig_aktiv
728;23765;23792;3532,830;28;7,000;194,280;27,750;777,120;0,577;niedrig_aktiv
187;8690;8717;3425,870;28;7,000;196,560;28,080;786,250;0,572;niedrig_aktiv
432;15797;15841;3535,430;45;11,250;201,950;17,950;807,800;0,567;niedrig_aktiv
826;27022;27060;3534,320;39;9,750;207,290;21,310;829,160;0,554;niedrig_aktiv
276;11135;11144;2931,390;10;2,500;201,700;80,680;806,800;0,527;niedrig_aktiv
371;13860;13898;3534,250;39;9,750;221,180;22,690;884,720;0,524;niedrig_aktiv
846;27737;27781;1120,980;45;11,250;221,670;24,930;886,680;0,522;niedrig_aktiv
221;9638;9674;3532,730;37;9,250;219,740;33,790;878,960;0,520;niedrig_aktiv
863;28409;28415;1964,630;7;1,750;197,880;113,070;791,520;0,513;niedrig_aktiv
506;17798;17838;3528,860;41;10,250;219,640;46,560;878,560;0,512;niedrig_aktiv
869;28560;28567;877,820;8;2,000;202,390;101,190;809,560;0,512;niedrig_aktiv
1016;34851;34893;801,360;43;10,750;227,480;21,160;909,920;0,512;niedrig_aktiv
363;13592;13609;3512,250;18;4,500;220,600;49,020;882,400;0,508;niedrig_aktiv
839;27502;27510;1759,390;9;2,250;208,820;92,810;835,280;0,504;niedrig_aktiv
402;14917;14949;3531,630;33;8,250;225,230;43,280;900,920;0,502;niedrig_aktiv
33;1537;1584;2808,320;48;12,000;8,270;0,690;33,080;0,500;niedrig_aktiv
89;4184;4231;2441,730;48;12,000;7,320;0,610;24,240;0,500;niedrig_aktiv
968;32688;32735;2964,580;48;12,000;8,590;0,720;28,160;0,500;niedrig_aktiv
999;34116;34163;3407,370;48;12,000;6,810;0,570;27,240;0,500;niedrig_aktiv
18;817;864;3380,150;48;12,000;19,460;1,620;50,880;0,499;niedrig_aktiv
47;2167;2214;2193,410;48;12,000;10,650;0,890;42,600;0,499;niedrig_aktiv
173;8165;8212;3154,040;48;12,000;23,200;1,930;29,520;0,499;niedrig_aktiv
818;26690;26737;3291,360;48;12,000;19,630;1,640;63,280;0,499;niedrig_aktiv
820;26786;26826;3280,540;41;10,250;22,030;2,150;88,120;0,499;niedrig_aktiv
859;28228;28275;3378,020;48;12,000;26,630;2,220;86,920;0,499;niedrig_aktiv
878;28904;28951;3334,550;48;12,000;20,860;1,740;69,400;0,499;niedrig_aktiv
1018;34951;34998;3479,750;48;12,000;13,180;1,100;30,240;0,499;niedrig_aktiv
961;32352;32399;3512,330;48;12,000;44,610;3,720;64,800;0,498;niedrig_aktiv
962;32400;32447;3487,010;48;12,000;29,350;2,450;90,160;0,498;niedrig_aktiv
14;625;672;3384,610;48;12,000;53,840;4,490;215,360;0,497;niedrig_aktiv
41;1879;1926;2976,970;48;12,000;47,350;3,950;96,600;0,497;niedrig_aktiv
