index;timestamp;charge_potential;discharge_potential;soc
98;2025-01-02 00:30;2398,68;-982,32;1800,00
99;2025-01-02 00:45;2445,00;-936,00;1800,00
100;2025-01-02 01:00;2445,88;-935,12;1800,00
101;2025-01-02 01:15;2399,96;-981,04;1800,00
102;2025-01-02 01:30;2387,32;-993,68;1800,00
103;2025-01-02 01:45;2427,56;-953,44;1800,00
104;2025-01-02 02:00;2358,28;-1022,72;1800,00
105;2025-01-02 02:15;1942,20;-1438,80;1800,00
106;2025-01-02 02:30;1806,68;-1574,32;1800,00
107;2025-01-02 02:45;1879,64;-1501,36;1800,00
108;2025-01-02 03:00;1895,64;-1485,36;1800,00
109;2025-01-02 03:15;1877,88;-1503,12;1800,00
110;2025-01-02 03:30;1853,96;-1527,04;1800,00
111;2025-01-02 03:45;1947,56;-1433,44;1800,00
112;2025-01-02 04:00;1965,96;-1415,04;1800,00
113;2025-01-02 04:15;2054,52;-1326,48;1800,00
114;2025-01-02 04:30;1983,00;-1398,00;1800,00
115;2025-01-02 04:45;2076,84;-1304,16;1800,00
116;2025-01-02 05:00;2095,00;-1286,00;1800,00
117;2025-01-02 05:15;2008,92;-1372,08;1800,00
118;2025-01-02 05:30;1783,24;-1597,76;1800,00
119;2025-01-02 05:45;1730,44;-1650,56;1800,00
120;2025-01-02 06:00;1401,32;-1979,68;1800,00
121;2025-01-02 06:15;816,20;-2564,80;1800,00
122;2025-01-02 06:30;608,04;-2772,96;1800,00
123;2025-01-02 06:45;464,68;-2850,00;1800,00
124;2025-01-02 07:00;302,76;-2850,00;1800,00
125;2025-01-02 07:15;297,32;-2850,00;1800,00
126;2025-01-02 07:30;340,36;-2850,00;1800,00
127;2025-01-02 07:45;293,24;-2850,00;1800,00
128;2025-01-02 08:00;323,64;-2850,00;1800,00
129;2025-01-02 08:15;203,72;-2850,00;1800,00
130;2025-01-02 08:30;226,36;-2850,00;1800,00
131;2025-01-02 08:45;155,08;-2850,00;1800,00
132;2025-01-02 09:00;228,04;-2850,00;1800,00
133;2025-01-02 09:15;311,40;-2850,00;1800,00
134;2025-01-02 09:30;329,16;-2850,00;1800,00
135;2025-01-02 09:45;277,32;-2850,00;1800,00
136;2025-01-02 10:00;466,44;-2850,00;1800,00
137;2025-01-02 10:15;414,76;-2850,00;1800,00
138;2025-01-02 10:30;492,28;-2850,00;1800,00
139;2025-01-02 10:45;549,08;-2831,92;1800,00
140;2025-01-02 11:00;609,88;-2771,12;1800,00
141;2025-01-02 11:15;568,44;-2812,56;1800,00
142;2025-01-02 11:30;600,16;-2780,84;1800,00
143;2025-01-02 11:45;878,84;-2502,16;1800,00
144;2025-01-02 12:00;559,88;-2821,12;1800,00
145;2025-01-02 12:15;574,72;-2806,28;1800,00
146;2025-01-02 12:30;768,80;-2612,20;1800,00
147;2025-01-02 12:45;781,92;-2599,08;1800,00
148;2025-01-02 13:00;519,16;-2850,00;1800,00
149;2025-01-02 13:15;238,28;-2850,00;1800,00
150;2025-01-02 13:30;288,72;-2850,00;1800,00
151;2025-01-02 13:45;622,68;-2758,32;1800,00
152;2025-01-02 14:00;497,16;-2850,00;1800,00
153;2025-01-02 14:15;393,80;-2850,00;1800,00
154;2025-01-02 14:30;481,12;-2850,00;1800,00
155;2025-01-02 14:45;159,00;-2850,00;1800,00
156;2025-01-02 15:00;154,76;-2850,00;1800,00
157;2025-01-02 15:15;200,60;-2850,00;1800,00
158;2025-01-02 15:30;153,56;-2850,00;1800,00
159;2025-01-02 15:45;210,68;-2850,00;1800,00
160;2025-01-02 16:00;231,08;-2850,00;1800,00
161;2025-01-02 16:15;342,96;-2850,00;1800,00
162;2025-01-02 16:30;369,20;-2850,00;1800,00
163;2025-01-02 16:45;329,76;-2850,00;1800,00
164;2025-01-02 17:00;330,44;-2850,00;1800,00
165;2025-01-02 17:15;452,16;-2850,00;1800,00
166;2025-01-02 17:30;516,32;-2850,00;1800,00
167;2025-01-02 17:45;526,24;-2850,00;1800,00
168;2025-01-02 18:00;445,32;-2850,00;1800,00
169;2025-01-02 18:15;420,00;-2850,00;1800,00
170;2025-01-02 18:30;460,76;-2850,00;1800,00
171;2025-01-02 18:45;399,92;-2850,00;1800,00
172;2025-01-02 19:00;316,96;-2850,00;1800,00
173;2025-01-02 19:15;338,48;-2850,00;1800,00
174;2025-01-02 19:30;487,60;-2850,00;1800,00
175;2025-01-02 19:45;393,32;-2850,00;1800,00
176;2025-01-02 20:00;365,24;-2850,00;1800,00
177;2025-01-02 20:15;392,84;-2850,00;1800,00
178;2025-01-02 20:30;447,44;-2850,00;1800,00
179;2025-01-02 20:45;524,60;-2850,00;1800,00
180;2025-01-02 21:00;510,96;-2850,00;1800,00
181;2025-01-02 21:15;457,80;-2850,00;1800,00
182;2025-01-02 21:30;578,36;-2802,64;1800,00
183;2025-01-02 21:45;692,16;-2688,84;1800,00
184;2025-01-02 22:00;691,08;-2689,92;1800,00
185;2025-01-02 22:15;489,32;-2850,00;1800,00
186;2025-01-02 22:30;514,24;-2850,00;1800,00
187;2025-01-02 22:45;537,16;-2843,84;1800,00
188;2025-01-02 23:00;548,56;-2832,44;1800,00
189;2025-01-02 23:15;485,60;-2850,00;1800,00
190;2025-01-02 23:30;580,96;-2800,04;1800,00
191;2025-01-02 23:45;604,68;-2776,32;1800,00
192;2025-01-03 00:00;621,04;-2759,96;1800,00
193;2025-01-03 00:15;619,00;-2762,00;1800,00
194;2025-01-03 00:30;565,92;-2815,08;1800,00
195;2025-01-03 00:45;650,48;-2730,52;1800,00
196;2025-01-03 01:00;606,96;-2774,04;1800,00
197;2025-01-03 01:15;617,24;-2763,76;1800,00
198;2025-01-03 01:30;551,52;-2829,48;1800,00
199;2025-01-03 01:45;614,88;-2766,12;1800,00
200;2025-01-03 02:00;585,92;-2795,08;1800,00
201;2025-01-03 02:15;581,60;-2799,40;1800,00
202;2025-01-03 02:30;566,56;-2814,44;1800,00
203;2025-01-03 02:45;612,40;-2768,60;1800,00
204;2025-01-03 03:00;658,96;-2722,04;1800,00
205;2025-01-03 03:15;719,36;-2661,64;1800,00
206;2025-01-03 03:30;642,04;-2738,96;1800,00
207;2025-01-03 03:45;760,20;-2620,80;1800,00
208;2025-01-03 04:00;730,08;-2650,92;1800,00
209;2025-01-03 04:15;751,24;-2629,76;1800,00
210;2025-01-03 04:30;640,28;-2740,72;1800,00
211;2025-01-03 04:45;722,84;-2658,16;1800,00
212;2025-01-03 05:00;819,24;-2561,76;1800,00
213;2025-01-03 05:15;727,68;-2653,32;1800,00
214;2025-01-03 05:30;724,40;-2656,60;1800,00
215;2025-01-03 05:45;829,40;-2551,60;1800,00
216;2025-01-03 06:00;1080,56;-2300,44;1800,00
217;2025-01-03 06:15;747,16;-2633,84;1800,00
218;2025-01-03 06:30;618,04;-2762,96;1800,00
219;2025-01-03 06:45;464,40;-2850,00;1800,00
220;2025-01-03 07:00;450,96;-2850,00;1800,00
221;2025-01-03 07:15;448,36;-2850,00;1800,00
222;2025-01-03 07:30;575,24;-2805,76;1800,00
223;2025-01-03 07:45;664,80;-2716,20;1800,00
224;2025-01-03 08:00;563,16;-2817,84;1800,00
225;2025-01-03 08:15;680,12;-2700,88;1800,00
226;2025-01-03 08:30;682,20;-2698,80;1800,00
227;2025-01-03 08:45;860,48;-2520,52;1800,00
228;2025-01-03 09:00;968,60;-2412,40;1800,00
229;2025-01-03 09:15;1016,64;-2364,36;1800,00
230;2025-01-03 09:30;997,80;-2383,20;1800,00
231;2025-01-03 09:45;994,92;-2386,08;1800,00
232;2025-01-03 10:00;1007,24;-2373,76;1800,00
233;2025-01-03 10:15;1132,76;-2248,24;1800,00
234;2025-01-03 10:30;1234,92;-2146,08;1800,00
235;2025-01-03 10:45;1259,16;-2121,84;1800,00
236;2025-01-03 11:00;1230,12;-2150,88;1800,00
237;2025-01-03 11:15;1283,00;-2098,00;1800,00
238;2025-01-03 11:30;1159,76;-2221,24;1800,00
239;2025-01-03 11:45;1193,80;-2187,20;1800,00
240;2025-01-03 12:00;1255,64;-2125,36;1800,00
241;2025-01-03 12:15;1330,88;-2050,12;1800,00
242;2025-01-03 12:30;1270,96;-2110,04;1800,00
243;2025-01-03 12:45;1305,60;-2075,40;1800,00
244;2025-01-03 13:00;1246,68;-2134,32;1800,00
245;2025-01-03 13:15;1311,52;-2069,48;1800,00
246;2025-01-03 13:30;1385,20;-1995,80;1800,00
247;2025-01-03 13:45;1458,88;-1922,12;1800,00
248;2025-01-03 14:00;1493,72;-1887,28;1800,00
249;2025-01-03 14:15;1418,44;-1962,56;1800,00
250;2025-01-03 14:30;1435,52;-1945,48;1800,00
251;2025-01-03 14:45;1560,40;-1820,60;1800,00
252;2025-01-03 15:00;1609,32;-1771,68;1800,00
253;2025-01-03 15:15;1577,88;-1803,12;1800,00
254;2025-01-03 15:30;1496,04;-1884,96;1800,00
255;2025-01-03 15:45;1480,00;-1901,00;1800,00
256;2025-01-03 16:00;1523,48;-1857,52;1800,00
257;2025-01-03 16:15;1535,08;-1845,92;1800,00
258;2025-01-03 16:30;1497,28;-1883,72;1800,00
259;2025-01-03 16:45;1421,04;-1959,96;1800,00
260;2025-01-03 17:00;1493,24;-1887,76;1800,00
261;2025-01-03 17:15;1559,28;-1821,72;1800,00
262;2025-01-03 17:30;1457,12;-1923,88;1800,00
263;2025-01-03 17:45;1503,56;-1877,44;1800,00
264;2025-01-03 18:00;1507,88;-1873,12;1800,00
265;2025-01-03 18:15;1479,44;-1901,56;1800,00
266;2025-01-03 18:30;1419,32;-1961,68;1800,00
267;2025-01-03 18:45;1506,96;-1874,04;1800,00
268;2025-01-03 19:00;1550,04;-1830,96;1800,00
269;2025-01-03 19:15;1421,64;-1959,36;1800,00
270;2025-01-03 19:30;1432,36;-1948,64;1800,00
271;2025-01-03 19:45;1620,92;-1760,08;1800,00
272;2025-01-03 20:00;1486,12;-1894,88;1800,00
273;2025-01-03 20:15;1456,60;-1924,40;1800,00
274;2025-01-03 20:30;1619,08;-1761,92;1800,00
275;2025-01-03 20:45;1579,52;-1801,48;1800,00
276;2025-01-03 21:00;1554,88;-1826,12;1800,00
277;2025-01-03 21:15;1499,76;-1881,24;1800,00
278;2025-01-03 21:30;1648,04;-1732,96;1800,00
279;2025-01-03 21:45;1932,20;-1448,80;1800,00
280;2025-01-03 22:00;2002,64;-1378,36;1800,00
281;2025-01-03 22:15;2038,52;-1342,48;1800,00
282;2025-01-03 22:30;2032,44;-1348,56;1800,00
283;2025-01-03 22:45;2023,00;-1358,00;1800,00
284;2025-01-03 23:00;2027,24;-1353,76;1800,00
285;2025-01-03 23:15;2008,12;-1372,88;1800,00
