strategie_id;zeitraum_id;strategie_typ;start_index;end_index;länge_stunden;basis_soc;max_soc_erreicht;min_soc_erreicht;gesamte_lademenge;gesamte_entlademenge;profit_euro
110;232;Einfach;5623;5644;5.5;3232.76;3799.96;3232.76;567.1999999999999;567.2025;32.74
277;489;Einfach;14459;14491;8.25;3539.93;3799.98;2347.96;1452.0075;1452.025;32.51
307;517;Einfach;15711;15730;5.0;3388.89;3799.97;3019.25;796.3075;796.3100000000001;32.45
440;681;Aggressiv;23462;23490;7.25;3374.31;3800.0;2166.36;2167.6549999999997;2167.6675;32.25
166;345;Aggressiv;8350;8371;5.5;3318.67;3501.44;200.47;3300.9575;3300.975;32.17
574;833;Einfach;28577;28598;5.5;3305.91;3796.05;1792.28;2003.7675;2003.7575;32.04
101;208;Entlade-Lade;5029;5050;5.5;3491.09;3491.09;2016.9;1474.19;1474.2;32.03
584;849;Einfach;29074;29088;3.75;3120.59;3120.6;1978.08;1142.5125;1142.5125;31.62
450;691;Einfach;23866;23887;5.5;3435.01;3799.98;3158.34;677.415;677.4175;31.55
412;642;Einfach;21880;21901;5.5;3297.92;3297.93;200.0;3097.9049999999997;3097.8925;31.51
802;1071;Einfach;34808;34838;7.75;3339.91;3799.26;2488.31;1360.6775;1360.6775;31.5
198;379;Einfach;9683;9698;4.0;2309.0;2309.0;495.09;2042.5525;2042.5525;31.45
576;834;Einfach;28601;28622;5.5;3305.91;3305.9;868.7;2437.1975;2437.1975;31.4
90;179;Entlade-Lade;4313;4334;5.5;3479.93;3479.95;2233.6;1246.3225;1246.335;31.17
557;813;Einfach;27902;27923;5.5;3539.87;3799.98;1894.98;1905.01;1904.99;31.07
613;881;Einfach;29907;29939;8.25;3539.87;3799.98;1750.09;2049.9025;2049.8975;30.55
34;66;Einfach;1576;1597;5.5;3190.3;3657.25;1305.08;2352.19;2352.1775;30.43
535;788;Entlade-Lade;27149;27170;5.5;3405.48;3405.47;2158.28;1247.18;1247.1975;30.3
37;68;Einfach;1624;1645;5.5;3190.3;3190.29;1373.75;1816.5500000000002;1816.5425;30.25
