index;timestamp;charge_potential;discharge_potential;soc
36;2025-01-01 09:00;1900,00;-1900,00;600,00
37;2025-01-01 09:15;1900,00;-1900,00;600,00
38;2025-01-01 09:30;1900,00;-1900,00;600,00
39;2025-01-01 09:45;1900,00;-1900,00;600,00
40;2025-01-01 10:00;1900,00;-1900,00;600,00
41;2025-01-01 10:15;1900,00;-1900,00;600,00
42;2025-01-01 10:30;1900,00;-1900,00;600,00
43;2025-01-01 10:45;1900,00;-1900,00;600,00
44;2025-01-01 11:00;1900,00;-1900,00;600,00
45;2025-01-01 11:15;1900,00;-1900,00;600,00
46;2025-01-01 11:30;1900,00;-1900,00;600,00
47;2025-01-01 11:45;1900,00;-1900,00;600,00
48;2025-01-01 12:00;1900,00;-1900,00;600,00
49;2025-01-01 12:15;1900,00;-1900,00;600,00
50;2025-01-01 12:30;1900,00;-1900,00;600,00
51;2025-01-01 12:45;1900,00;-1900,00;600,00
52;2025-01-01 13:00;1900,00;-1900,00;600,00
53;2025-01-01 13:15;1900,00;-1900,00;600,00
54;2025-01-01 13:30;1900,00;-1900,00;600,00
55;2025-01-01 13:45;1900,00;-1900,00;600,00
56;2025-01-01 14:00;1900,00;-1900,00;600,00
57;2025-01-01 14:15;1900,00;-1900,00;600,00
58;2025-01-01 14:30;1900,00;-1900,00;600,00
59;2025-01-01 14:45;1900,00;-1900,00;600,00
60;2025-01-01 15:00;1900,00;-1900,00;600,00
61;2025-01-01 15:15;1900,00;-1900,00;600,00
62;2025-01-01 15:30;1900,00;-1900,00;600,00
63;2025-01-01 15:45;1900,00;-1900,00;600,00
64;2025-01-01 16:00;1900,00;-1900,00;600,00
65;2025-01-01 16:15;1900,00;-1900,00;600,00
66;2025-01-01 16:30;1900,00;-1900,00;600,00
67;2025-01-01 16:45;1900,00;-1900,00;600,00
68;2025-01-01 17:00;1900,00;-1900,00;600,00
69;2025-01-01 17:15;1900,00;-1900,00;600,00
70;2025-01-01 17:30;1900,00;-1900,00;600,00
71;2025-01-01 17:45;1900,00;-1900,00;600,00
72;2025-01-01 18:00;1900,00;-1900,00;600,00
73;2025-01-01 18:15;1900,00;-1900,00;600,00
74;2025-01-01 18:30;1900,00;-1900,00;600,00
75;2025-01-01 18:45;1900,00;-1900,00;600,00
76;2025-01-01 19:00;1900,00;-1900,00;600,00
77;2025-01-01 19:15;1900,00;-1900,00;600,00
78;2025-01-01 19:30;1900,00;-1900,00;600,00
79;2025-01-01 19:45;1900,00;-1900,00;600,00
80;2025-01-01 20:00;1900,00;-1900,00;600,00
81;2025-01-01 20:15;1900,00;-1900,00;600,00
82;2025-01-01 20:30;1900,00;-1900,00;600,00
83;2025-01-01 20:45;1900,00;-1900,00;600,00
84;2025-01-01 21:00;1900,00;-1900,00;600,00
85;2025-01-01 21:15;1900,00;-1900,00;600,00
86;2025-01-01 21:30;1900,00;-1900,00;600,00
87;2025-01-01 21:45;1900,00;-1900,00;600,00
88;2025-01-01 22:00;1900,00;-1900,00;600,00
89;2025-01-01 22:15;1900,00;-1900,00;600,00
90;2025-01-01 22:30;1900,00;-1900,00;600,00
91;2025-01-01 22:45;1900,00;-1900,00;600,00
92;2025-01-01 23:00;1900,00;-1900,00;600,00
93;2025-01-01 23:15;1900,00;-1900,00;600,00
94;2025-01-01 23:30;1900,00;-1900,00;600,00
95;2025-01-01 23:45;1900,00;-1900,00;600,00
96;2025-01-02 00:00;1900,00;-1900,00;600,00
97;2025-01-02 00:15;1900,00;-1900,00;600,00
98;2025-01-02 00:30;1900,00;-1900,00;600,00
99;2025-01-02 00:45;1900,00;-1900,00;600,00
100;2025-01-02 01:00;1900,00;-1900,00;600,00
101;2025-01-02 01:15;1900,00;-1900,00;600,00
102;2025-01-02 01:30;1900,00;-1900,00;600,00
103;2025-01-02 01:45;1900,00;-1900,00;600,00
104;2025-01-02 02:00;1900,00;-1900,00;600,00
105;2025-01-02 02:15;1900,00;-1900,00;600,00
106;2025-01-02 02:30;1900,00;-1900,00;600,00
107;2025-01-02 02:45;1900,00;-1900,00;600,00
108;2025-01-02 03:00;1900,00;-1900,00;600,00
109;2025-01-02 03:15;1900,00;-1900,00;600,00
110;2025-01-02 03:30;1900,00;-1900,00;600,00
111;2025-01-02 03:45;1900,00;-1900,00;600,00
112;2025-01-02 04:00;1900,00;-1900,00;600,00
113;2025-01-02 04:15;1900,00;-1900,00;600,00
114;2025-01-02 04:30;1900,00;-1900,00;600,00
115;2025-01-02 04:45;1900,00;-1900,00;600,00
116;2025-01-02 05:00;1900,00;-1900,00;600,00
117;2025-01-02 05:15;1900,00;-1900,00;600,00
118;2025-01-02 05:30;1900,00;-1900,00;600,00
119;2025-01-02 05:45;1900,00;-1900,00;600,00
120;2025-01-02 06:00;1900,00;-1900,00;600,00
121;2025-01-02 06:15;1900,00;-1900,00;600,00
122;2025-01-02 06:30;1900,00;-1900,00;600,00
123;2025-01-02 06:45;1900,00;-1900,00;600,00
124;2025-01-02 07:00;1900,00;-1900,00;600,00
125;2025-01-02 07:15;1900,00;-1900,00;600,00
126;2025-01-02 07:30;1900,00;-1900,00;600,00
127;2025-01-02 07:45;1900,00;-1900,00;600,00
128;2025-01-02 08:00;1900,00;-1900,00;600,00
129;2025-01-02 08:15;1900,00;-1900,00;600,00
130;2025-01-02 08:30;1900,00;-1900,00;600,00
131;2025-01-02 08:45;1900,00;-1900,00;600,00
132;2025-01-02 09:00;1900,00;-1900,00;600,00
133;2025-01-02 09:15;1900,00;-1900,00;600,00
134;2025-01-02 09:30;1900,00;-1900,00;600,00
135;2025-01-02 09:45;1900,00;-1900,00;600,00
136;2025-01-02 10:00;1900,00;-1900,00;600,00
137;2025-01-02 10:15;1900,00;-1900,00;600,00
138;2025-01-02 10:30;1900,00;-1900,00;600,00
139;2025-01-02 10:45;1900,00;-1900,00;600,00
140;2025-01-02 11:00;1900,00;-1900,00;600,00
141;2025-01-02 11:15;1900,00;-1900,00;600,00
142;2025-01-02 11:30;1900,00;-1900,00;600,00
143;2025-01-02 11:45;1900,00;-1900,00;600,00
144;2025-01-02 12:00;1900,00;-1900,00;600,00
145;2025-01-02 12:15;1900,00;-1900,00;600,00
146;2025-01-02 12:30;1900,00;-1900,00;600,00
147;2025-01-02 12:45;1900,00;-1900,00;600,00
148;2025-01-02 13:00;1900,00;-1900,00;600,00
149;2025-01-02 13:15;1900,00;-1900,00;600,00
150;2025-01-02 13:30;1900,00;-1900,00;600,00
151;2025-01-02 13:45;1900,00;-1900,00;600,00
152;2025-01-02 14:00;1900,00;-1900,00;600,00
153;2025-01-02 14:15;1900,00;-1900,00;600,00
154;2025-01-02 14:30;1900,00;-1900,00;600,00
155;2025-01-02 14:45;1900,00;-1900,00;600,00
156;2025-01-02 15:00;1900,00;-1900,00;600,00
157;2025-01-02 15:15;1900,00;-1900,00;600,00
158;2025-01-02 15:30;1900,00;-1900,00;600,00
159;2025-01-02 15:45;1900,00;-1900,00;600,00
160;2025-01-02 16:00;1900,00;-1900,00;600,00
161;2025-01-02 16:15;1900,00;-1900,00;600,00
162;2025-01-02 16:30;1900,00;-1900,00;600,00
163;2025-01-02 16:45;1900,00;-1900,00;600,00
164;2025-01-02 17:00;1900,00;-1900,00;600,00
165;2025-01-02 17:15;1900,00;-1900,00;600,00
166;2025-01-02 17:30;1900,00;-1900,00;600,00
167;2025-01-02 17:45;1900,00;-1900,00;600,00
