index,timestamp,soc,type,limit,difference
305,2025-01-04 04:15,3800.014999999999,above_max,3800.0,0.014999999998963176
306,2025-01-04 04:30,3800.014999999999,above_max,3800.0,0.014999999998963176
307,2025-01-04 04:45,3800.014999999999,above_max,3800.0,0.014999999998963176
308,2025-01-04 05:00,3800.014999999999,above_max,3800.0,0.014999999998963176
309,2025-01-04 05:15,3800.014999999999,above_max,3800.0,0.014999999998963176
310,2025-01-04 05:30,3800.014999999999,above_max,3800.0,0.014999999998963176
311,2025-01-04 05:45,3800.014999999999,above_max,3800.0,0.014999999998963176
312,2025-01-04 06:00,3800.014999999999,above_max,3800.0,0.014999999998963176
313,2025-01-04 06:15,3800.014999999999,above_max,3800.0,0.014999999998963176
314,2025-01-04 06:30,3800.014999999999,above_max,3800.0,0.014999999998963176
315,2025-01-04 06:45,3800.014999999999,above_max,3800.0,0.014999999998963176
316,2025-01-04 07:00,3800.014999999999,above_max,3800.0,0.014999999998963176
317,2025-01-04 07:15,3800.014999999999,above_max,3800.0,0.014999999998963176
318,2025-01-04 07:30,3800.014999999999,above_max,3800.0,0.014999999998963176
319,2025-01-04 07:45,3800.014999999999,above_max,3800.0,0.014999999998963176
320,2025-01-04 08:00,3800.014999999999,above_max,3800.0,0.014999999998963176
321,2025-01-04 08:15,3800.014999999999,above_max,3800.0,0.014999999998963176
322,2025-01-04 08:30,3800.014999999999,above_max,3800.0,0.014999999998963176
323,2025-01-04 08:45,3800.014999999999,above_max,3800.0,0.014999999998963176
2260,2025-01-24 13:00,3800.004999999994,above_max,3800.0,0.004999999994197424
2261,2025-01-24 13:15,3800.004999999994,above_max,3800.0,0.004999999994197424
2262,2025-01-24 13:30,3800.004999999994,above_max,3800.0,0.004999999994197424
2263,2025-01-24 13:45,3800.004999999994,above_max,3800.0,0.004999999994197424
2264,2025-01-24 14:00,3800.004999999994,above_max,3800.0,0.004999999994197424
2265,2025-01-24 14:15,3800.004999999994,above_max,3800.0,0.004999999994197424
2266,2025-01-24 14:30,3800.004999999994,above_max,3800.0,0.004999999994197424
2267,2025-01-24 14:45,3800.004999999994,above_max,3800.0,0.004999999994197424
2268,2025-01-24 15:00,3800.004999999994,above_max,3800.0,0.004999999994197424
2269,2025-01-24 15:15,3800.004999999994,above_max,3800.0,0.004999999994197424
2270,2025-01-24 15:30,3800.004999999994,above_max,3800.0,0.004999999994197424
2271,2025-01-24 15:45,3800.004999999994,above_max,3800.0,0.004999999994197424
2272,2025-01-24 16:00,3800.004999999994,above_max,3800.0,0.004999999994197424
2273,2025-01-24 16:15,3800.004999999994,above_max,3800.0,0.004999999994197424
2274,2025-01-24 16:30,3800.004999999994,above_max,3800.0,0.004999999994197424
2275,2025-01-24 16:45,3800.004999999994,above_max,3800.0,0.004999999994197424
2276,2025-01-24 17:00,3800.004999999994,above_max,3800.0,0.004999999994197424
2277,2025-01-24 17:15,3800.004999999994,above_max,3800.0,0.004999999994197424
2278,2025-01-24 17:30,3800.004999999994,above_max,3800.0,0.004999999994197424
2279,2025-01-24 17:45,3800.004999999994,above_max,3800.0,0.004999999994197424
2959,2025-01-31 19:45,199.99250000000063,below_min,200.0,0.007499999999367901
2960,2025-01-31 20:00,199.99250000000063,below_min,200.0,0.007499999999367901
2961,2025-01-31 20:15,199.99250000000063,below_min,200.0,0.007499999999367901
2962,2025-01-31 20:30,199.99250000000063,below_min,200.0,0.007499999999367901
2963,2025-01-31 20:45,199.99250000000063,below_min,200.0,0.007499999999367901
2964,2025-01-31 21:00,199.99250000000063,below_min,200.0,0.007499999999367901
2965,2025-01-31 21:15,199.99250000000063,below_min,200.0,0.007499999999367901
2966,2025-01-31 21:30,199.99250000000063,below_min,200.0,0.007499999999367901
2967,2025-01-31 21:45,199.99250000000063,below_min,200.0,0.007499999999367901
2968,2025-01-31 22:00,199.99250000000063,below_min,200.0,0.007499999999367901
2969,2025-01-31 22:15,199.99250000000063,below_min,200.0,0.007499999999367901
2970,2025-01-31 22:30,199.99250000000063,below_min,200.0,0.007499999999367901
2971,2025-01-31 22:45,199.99250000000063,below_min,200.0,0.007499999999367901
2972,2025-01-31 23:00,199.99250000000063,below_min,200.0,0.007499999999367901
2973,2025-01-31 23:15,199.99250000000063,below_min,200.0,0.007499999999367901
2974,2025-01-31 23:30,199.99250000000063,below_min,200.0,0.007499999999367901
2975,2025-01-31 23:45,199.99250000000063,below_min,200.0,0.007499999999367901
2976,2025-02-01 00:00,199.99250000000063,below_min,200.0,0.007499999999367901
2977,2025-02-01 00:15,199.99250000000063,below_min,200.0,0.007499999999367901
2978,2025-02-01 00:30,199.99250000000063,below_min,200.0,0.007499999999367901
2979,2025-02-01 00:45,199.99250000000063,below_min,200.0,0.007499999999367901
2980,2025-02-01 01:00,199.99250000000063,below_min,200.0,0.007499999999367901
2981,2025-02-01 01:15,199.99250000000063,below_min,200.0,0.007499999999367901
2982,2025-02-01 01:30,199.99250000000063,below_min,200.0,0.007499999999367901
2983,2025-02-01 01:45,199.99250000000063,below_min,200.0,0.007499999999367901
2984,2025-02-01 02:00,199.99250000000063,below_min,200.0,0.007499999999367901
2985,2025-02-01 02:15,199.99250000000063,below_min,200.0,0.007499999999367901
2986,2025-02-01 02:30,199.99250000000063,below_min,200.0,0.007499999999367901
2987,2025-02-01 02:45,199.99250000000063,below_min,200.0,0.007499999999367901
4276,2025-02-14 13:00,3800.0275000000015,above_max,3800.0,0.02750000000150976
4277,2025-02-14 13:15,3800.0275000000015,above_max,3800.0,0.02750000000150976
